ID :   1, Time :   1, Before :  3, After : 16
ID :  37, Time :   1, Before :  3, After : 16
ID :  90, Time :   1, Before :  3, After : 19
ID :  18, Time :   1, Before :  4, After :  7
ID :   6, Time :   1, Before :  5, After : 18
ID :  68, Time :   1, Before :  5, After :  9
ID :   9, Time :   1, Before :  8, After :  7
ID :  71, Time :   1, Before :  8, After : 15
ID :  41, Time :   1, Before :  9, After :  5
ID :  72, Time :   1, Before :  9, After : 13
ID :  56, Time :   1, Before : 11, After : 14
ID :  97, Time :   1, Before : 11, After : 13
ID :  21, Time :   1, Before : 12, After :  8
ID :  61, Time :   1, Before : 12, After :  8
ID :  59, Time :   1, Before : 15, After :  5
ID :  10, Time :   1, Before : 16, After :  3
ID :  83, Time :   1, Before : 16, After : 19
ID :  34, Time :   1, Before : 17, After : 16
ID :  46, Time :   1, Before : 17, After : 16
ID :  23, Time :   1, Before : 19, After :  3
ID :  58, Time :   1, Before : 19, After : 12
ID :  80, Time :   2, Before :  3, After : 19
ID :  28, Time :   2, Before :  4, After :  7
ID :  82, Time :   2, Before :  8, After : 15
ID :  81, Time :   2, Before : 19, After : 16
ID :  11, Time :   3, Before :  9, After :  5
ID :  99, Time :   3, Before : 11, After : 14
ID :  29, Time :   3, Before : 17, After : 16
ID :  65, Time :   3, Before : 17, After : 14
ID :  79, Time :   4, Before : 11, After : 13
ID :  66, Time :   4, Before : 16, After : 17
ID :  73, Time :   5, Before : 11, After :  1
ID :  93, Time :   5, Before : 11, After : 14
ID :  55, Time :   5, Before : 16, After : 14
ID :  20, Time :   5, Before : 19, After :  3
ID :  87, Time :   6, Before :  3, After : 14
ID :   8, Time :   6, Before :  4, After : 13
ID :  30, Time :   6, Before :  4, After :  1
ID :  95, Time :   7, Before : 18, After :  5
ID :  79, Time :  10, Before : 13, After : 11
ID :  40, Time :  10, Before : 16, After :  3
ID :  32, Time :  10, Before : 18, After : 14
ID :  73, Time :  12, Before :  1, After : 11
ID :  19, Time :  12, Before :  2, After : 12
ID :  97, Time :  12, Before : 13, After : 11
ID :  99, Time :  12, Before : 14, After : 11
ID :  53, Time :  14, Before :  6, After :  1
ID :  36, Time :  16, Before :  2, After :  1
ID :  21, Time :  16, Before :  8, After : 12
ID :  56, Time :  19, Before : 14, After :  7
ID :  93, Time :  20, Before : 14, After : 11
ID :  25, Time :  21, Before : 16, After :  3
ID :  24, Time :  21, Before : 18, After :  6
ID :  57, Time :  22, Before :  2, After :  1
ID :  26, Time :  22, Before :  5, After : 13
